48;0.108367;1.09484;1.09478;1.0949;-1.67038;-1.67046;-1.67031;1.51521;1.51338;1.51698;879
49;0.111055;1.09896;1.09891;1.09903;-1.6977;-1.69779;-1.69763;1.53464;1.5328;1.53641;879
50;0.113782;1.1032;1.10314;1.10326;-1.72468;-1.72478;-1.7246;1.55346;1.55161;1.55524;879
51;0.116549;1.10754;1.10749;1.10761;-1.75131;-1.75138;-1.75125;1.57171;1.56975;1.5735;904
52;0.119357;1.11201;1.11196;1.11207;-1.7776;-1.77767;-1.77753;1.5893;1.58735;1.5911;904
53;0.122208;1.11659;1.11654;1.11666;-1.80353;-1.8036;-1.80346;1.60627;1.60432;1.60807;904
54;0.125103;1.12129;1.12123;1.12136;-1.82909;-1.82917;-1.82902;1.62261;1.62067;1.62441;904
55;0.128045;1.1261;1.12605;1.12618;-1.85428;-1.85437;-1.85421;1.63832;1.63639;1.64011;904
56;0.131035;1.13105;1.13099;1.13112;-1.8791;-1.87919;-1.87902;1.65338;1.65147;1.65517;904
57;0.134074;1.13612;1.13605;1.13619;-1.90353;-1.90363;-1.90344;1.66779;1.66589;1.66958;904
58;0.137165;1.14131;1.14125;1.14139;-1.92757;-1.92768;-1.92747;1.68155;1.67967;1.68333;904
59;0.14031;1.14664;1.14657;1.14673;-1.95121;-1.95132;-1.9511;1.69464;1.69279;1.69641;904
60;0.14351;1.15211;1.15203;1.15219;-1.97444;-1.97456;-1.97432;1.70707;1.70524;1.70883;904
61;0.146766;1.1577;1.15763;1.15777;-1.99724;-1.99737;-1.99715;1.71879;1.71672;1.72085;896
62;0.150083;1.16344;1.16336;1.16351;-2.01963;-2.01977;-2.01952;1.72986;1.72782;1.73192;896
63;0.153461;1.16932;1.16924;1.1694;-2.04159;-2.04173;-2.04147;1.74025;1.73823;1.74229;896
64;0.156903;1.17534;1.17526;1.17543;-2.0631;-2.06325;-2.06297;1.74995;1.74795;1.75198;896
65;0.160411;1.18151;1.18143;1.18161;-2.08417;-2.08433;-2.08403;1.75896;1.75699;1.76097;896
66;0.163989;1.18783;1.18775;1.18793;-2.10478;-2.10494;-2.10462;1.76726;1.76533;1.76926;896
67;0.167637;1.19431;1.19422;1.19441;-2.12492;-2.12509;-2.12475;1.77487;1.77298;1.77684;896
68;0.171359;1.20094;1.20085;1.20105;-2.14458;-2.14476;-2.1444;1.78177;1.77992;1.78371;896
69;0.175158;1.20773;1.20764;1.20785;-2.16376;-2.16394;-2.16357;1.78796;1.78614;1.78988;896
